stop_id,stop_name,stop_lat,stop_lon
"1000","Dole Ave/Cheddar Rd (Reservoir)","-37.7004455128717","145.019198002778"
"10001","Rex St/Taylors Rd (Kings Park)","-37.7269752097248","144.776152425766"
"10002","Yuille St/Centenary Ave (Melton)","-37.6761595024019","144.595789405033"
"10009","Gum Rd/Main Rd West (Albanvale)","-37.7414971143014","144.775899388911"
"1001","Lloyd Ave/Cheddar Rd (Reservoir)","-37.6991830099504","145.019685286526"
"10010","Kings Rd/Main Rd West (St Albans)","-37.7419455261211","144.78008474429"
"10011","Moffat St/Main Rd West (St Albans)","-37.7423246041254","144.783466504334"
"10012","Washington St/Main Rd West (St Albans)","-37.7427956612577","144.787912291551"
"10013","Kate St/Main Rd West (St Albans)","-37.7435693788456","144.79457341719"
"10014","Raleighs Rd/Centenary Ave (Melton)","-37.6753043554238","144.588776428553"
"10016","Melton Cemetery/O'Neills Rd (Melton)","-37.6749805118048","144.57825444305"
"10017","Emil Park/O'Neills Rd (Melton)","-37.678758947225","144.577507964115"
"10018","Reservoir Shopping Centre/Broadway (Reservoir)","-37.7170328672655","145.009884746992"
"10019","Northumberland Rd/Pascoe St (Pascoe Vale)","-37.7162864982437","144.934044111346"
"1002","Liston Ave/Cheddar Rd (Reservoir)","-37.6974477807633","145.021001731137"
"10020","Westbreen Primary School/Pascoe St (Pascoe Vale)","-37.7165528085794","144.936385017549"
"10021","Joffre Rd/Boundary Rd (Pascoe Vale)","-37.7169149244717","144.940084629272"
"10022","Kent Rd/Cumberland Rd (Pascoe Vale)","-37.72071084447","144.940195032027"
"10023","Warwick Rd/Cumberland Rd (Pascoe Vale)","-37.722202915925","144.93997217227"
"10025","Daley St/Cumberland Rd (Pascoe Vale)","-37.7250149221672","144.939474463651"
"10026","Pleasant St/Cumberland Rd (Pascoe Vale)","-37.7271175154048","144.939121187603"
"10027","Olive Gr/Cumberland Rd (Pascoe Vale)","-37.7292291137623","144.938767639076"
"10028","Gaffney St/Cumberland Rd (Pascoe Vale)","-37.7321654274956","144.938164255519"
"10029","Pardy St/Cumberland Rd (Pascoe Vale)","-37.7339285078031","144.937979179197"
"1003","Keon Pde/Dalton Rd (Thomastown)","-37.6950483455325","145.023016242187"
"10030","Eastgate St/Cumberland Rd (Pascoe Vale South)","-37.7355002469745","144.937674580612"
"10031","Bell St/Cumberland Rd (Pascoe Vale South)","-37.7378542426294","144.937268820712"
"10032","Balmoral Ave/Bell St (Pascoe Vale South)","-37.7388010714599","144.941940557293"
"10033","Royal Pde/Bell St (Pascoe Vale South)","-37.7394221492203","144.94706398906"
"10034","Davis St/Bell St (Coburg)","-37.7398111829679","144.950775399338"
"10035","Linsey St/Bell St (Coburg)","-37.7400858521961","144.953616195539"
"10036","Kelson St/Bell St (Coburg)","-37.74033456844","144.956003802257"
"10037","Nelson St/Bell St (Coburg)","-37.7407266620113","144.959908145479"
"10038","Coburg Cemetery/Bell St (Preston)","-37.7431138747982","144.982358198335"
"10039","Tasman St/Bell St (Preston)","-37.7435567163042","144.985591894659"
"1004","Wood St/Dalton Rd (Thomastown)","-37.691908992763","145.025515227522"
"10040","Gilbert Rd/Bell St (Preston)","-37.743984256208","144.98951831928"
"10041","Erin St/Bell St (Preston)","-37.7442852915834","144.99290346531"
"10042","Penola St/Bell St (Preston)","-37.744562041139","144.995926132162"
"10043","Bell Railway Station/Bell St (Preston)","-37.7451615025891","145.002038395218"
"10044","Plenty Rd/Bell St (Preston)","-37.7454826745663","145.005037245052"
"10045","Panch Health Centre/Bell St (Preston)","-37.7458204493575","145.008489639719"
"10047","O'Keefe St/Bell St (Preston)","-37.746500144099","145.014588625825"
"10048","Liberty Pde/Bell St (Bellfield (3081))","-37.7494193991302","145.03714180246"
"10049","Oriel Rd/Bell St (Bellfield (3081))","-37.7497294939798","145.039528398869"
"1005","Settlement Rd/Dalton Rd (Thomastown)","-37.6882747069116","145.028061127922"
"10050","Plunkett St/Bell St (Bellfield (3081))","-37.7503134033601","145.042668235632"
"10051","Waterdale Rd/Bell St (Bellfield (3081))","-37.7510400155548","145.045180122546"
"10052","Gotha St/Bell St (Heidelberg Heights)","-37.7519123959479","145.047790378474"
"10053","Austin Repat MC/Bell St (Heidelberg Heights)","-37.7526846878969","145.04980176347"
"10054","Myrtle St/Bell St (Heidelberg Heights)","-37.7538407194312","145.052677103396"
"10055","Cartmell St/Cape St (Heidelberg)","-37.7555960155354","145.067330173759"
"10057","Brown St/Rosanna Rd (Heidelberg)","-37.7521039802154","145.070360724665"
"10058","Reid St/Rosanna Rd (Heidelberg)","-37.7500108387656","145.07076694425"
"10059","St James Rd/Rosanna Rd (Heidelberg)","-37.7485734334233","145.071042616379"
"1006","Alison St/Dalton Rd (Thomastown)","-37.6840028059418","145.029126801364"
"10060","Station Rd/Rosanna Rd (Rosanna)","-37.7460122338644","145.071483641798"
"10061","Millicent St/Lower Plenty Rd (Rosanna)","-37.7404894756","145.069380008584"
"10062","Arden Cres/Lower Plenty Rd (Rosanna)","-37.7396741964054","145.070774326672"
"10063","Milford Gr/Lower Plenty Rd (Rosanna)","-37.7380353192582","145.073608478264"
"10064","Lyons St/Hyde St (Footscray)","-37.8081945992869","144.899738180696"
"10065","Harris St/Hyde St (Footscray)","-37.811153673353","144.898404849965"
"10066","Yarraville Gardens/Hyde St (Yarraville)","-37.8142694982512","144.897271427458"
"10067","Hall St/Hyde St (Yarraville)","-37.8161102754912","144.896901122621"
"10068","Earsdon St/Hyde St (Yarraville)","-37.8182210603381","144.896511771936"
"10069","Little Hyde St/Hyde St (Yarraville)","-37.8198829085095","144.896214666035"
"1007","Buckingham Ct/Dalton Rd (Thomastown)","-37.6805518641366","145.02970572115"
"10070","Hyde St/Francis St (Yarraville)","-37.821786196943","144.895308580902"
"10071","Stephen St/Francis St (Yarraville)","-37.8214643928154","144.892432167386"
"10072","Hughes St/Francis St (Yarraville)","-37.821252530516","144.890665969073"
"10073","Evans St/Bridge St (Port Melbourne)","-37.8341849770882","144.940587838545"
"10074","158 Bridge St (Port Melbourne)","-37.8358840983126","144.942415438338"
"10075","Bay Street Shops/Bay St (Port Melbourne)","-37.8385097951083","144.942603825433"
"10076","Cruikshank St/Liardet St (Port Melbourne)","-37.8400210384445","144.945027687326"
"10077","Bridport St/Richardson St (Albert Park)","-37.8423527943922","144.949031189178"
"10078","Albert Park Shops/Richardson St (Albert Park)","-37.8435791485509","144.951145000118"
"10079","Kerferd Rd/Richardson St (Albert Park)","-37.8455751916483","144.954510396872"
"1008","Wattle St/Dalton Rd (Thomastown)","-37.6785566227991","145.03003064147"
"10080","Middle Park Primary School/Richardson St (Middle Park)","-37.8471859347432","144.957488846652"
"10081","Wright St/Richardson St (Middle Park)","-37.8480059720929","144.959045903603"
"10082","Nimmo St/Richardson St (Middle Park)","-37.8497488055286","144.96237322518"
"10084","Armstrong St/Danks St (Middle Park)","-37.8530823730117","144.962849712065"
"10086","Fraser St/Patterson St (St Kilda West)","-37.8553614718523","144.966969580286"
"10087","Jacoby Reserve/Park Lane (St Kilda West)","-37.8571965193069","144.970431279347"
"10088","44 Park St (St Kilda)","-37.8590567487298","144.972744456679"
"1009","Maple St/Dalton Rd (Lalor)","-37.6750155905746","145.030611847796"
"10093","Warland Rd/Carrington St (Hampton East)","-37.9360692109134","145.033722880507"
"10094","Dudley St/Spring Rd (Hampton East)","-37.9399457432183","145.033813005242"
"10095","Wickham Rd/Spring Rd (Hampton East)","-37.9425933069838","145.033162090989"
"10099","Bluff Rd/Wickham Rd (Hampton)","-37.9428871860997","145.023276946281"
"101","Aquarena/Williamsons Rd (Templestowe Lower)","-37.7743856136268","145.126435969792"
"1010","Deakin Ave/Dalton Rd (Lalor)","-37.6717444155068","145.031163183414"
"10100","June St/Bluff Rd (Hampton)","-37.9455044051661","145.022432980989"
"10101","Abberfield Nursing Home/Bluff Rd (Sandringham)","-37.9480554857888","145.021943511347"
"10102","Sandringham College Highett/Bluff Rd (Sandringham)","-37.9507765583415","145.021381159447"
"10103","Sandringham College/Bluff Rd (Sandringham)","-37.9543238343332","145.02064862986"
"10104","Holloway Rd/Bluff Rd (Sandringham)","-37.9576993833272","145.019886489387"
"10105","College Gr/Balcombe Rd (Black Rock)","-37.9756784591827","145.018868321701"
"10106","Cullinane St/Balcombe Rd (Black Rock)","-37.9760314717032","145.02110157527"
"10107","Iluka St/Balcombe Rd (Black Rock)","-37.9763851894279","145.023915444458"
"10108","Summerhill Rd/Balcombe Rd (Beaumaris)","-37.9766815484399","145.026537339706"
"10109","Haydens Rd/Balcombe Rd (Beaumaris)","-37.9771006239511","145.030032594506"
"1011","Ruth St/Dalton Rd (Lalor)","-37.6698750889839","145.03147335098"
"10110","Mcnaught St/Balcombe Rd (Beaumaris)","-37.9780535088728","145.035278291456"
"10111","Morey St/Balcombe Rd (Beaumaris)","-37.9781400954872","145.039385913983"
"10112","Thistle St/Mt Alexander Rd (Essendon)","-37.7508584109103","144.914242396532"
"10113","Ryland Ave/Maroondah Hwy (Croydon)","-37.7900877520151","145.266117597885"
"10114","Stirling Rd/Maroondah Hwy (Croydon)","-37.7884960004284","145.270640431011"
"10118","Bonnie View Rd/Maroondah Hwy (Croydon North)","-37.781081416136","145.288084053819"
"10119","Golf Links Rd/Maroondah Hwy (Croydon North)","-37.7782926651951","145.292156522275"
"1012","Queen St/Dalton Rd (Lalor)","-37.6680506118649","145.031770978785"
"10120","Primrose Rd/Maroondah Hwy (Croydon North)","-37.7746449529785","145.292933049614"
